Rank,Athlete,Distance,Runs,Longest,Avg. Pace,Elev. Gain,timestamp,location,Activities,Time,time_hold,dist_LA,dist_float,avg_pace_float,avg_pace_km_min,time_spent,National Rank,Location Rank,elevation_gain
1,Muneeb A.,91.3 km,10.0,25.7 km,4:59 /km,67 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,91.3,"['4', '59']",4.983333333333333,454.9783333333333,1,1,67.0
2,Mohammad S.,79.5 km,5.0,37.2 km,5:48 /km,223 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,79.5,"['5', '48']",5.8,461.09999999999997,2,2,223.0
1,Shehryar K.,78.7 km,6.0,23.4 km,4:54 /km,264 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,78.7,"['4', '54']",4.9,385.63000000000005,3,1,264.0
1,Iman R.,64.2 km,4.0,32.3 km,6:46 /km,177 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,64.2,"['6', '46']",6.766666666666667,434.42,4,1,177.0
2,Sid S.,63.5 km,4.0,25.7 km,6:34 /km,465 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,63.5,"['6', '34']",6.566666666666666,416.9833333333333,5,2,465.0
3,Ariel D.,59.5 km,5.0,21.1 km,5:19 /km,153 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,59.5,"['5', '19']",5.316666666666666,316.34166666666664,6,3,153.0
1,Samir R.,55.8 km,10.0,17.0 km,4:39 /km,182 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,55.8,"['4', '39']",4.65,259.47,7,1,182.0
3,Top G.,55.2 km,8.0,8.5 km,7:31 /km,--,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,55.2,"['7', '31']",7.516666666666667,414.92,8,3,0.0
4,Nour A.,54.8 km,10.0,14.5 km,5:21 /km,"1,372 m",2022-11-13 16:18:13.638756,"Dallas, TX",,,,,54.8,"['5', '21']",5.35,293.17999999999995,9,4,1372.0
2,Osh H.,51.6 km,4.0,14.8 km,5:29 /km,134 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,51.6,"['5', '29']",5.483333333333333,282.94,10,2,134.0
4,Shair M.,50.0 km,5.0,16.1 km,5:41 /km,--,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,50.0,"['5', '41']",5.683333333333334,284.1666666666667,11,4,0.0
1,Ali U.,47.6 km,4.0,20.0 km,7:02 /km,93 m,2022-11-13 16:18:13.638756,"Houston, TX",,,,,47.6,"['7', '02']",7.033333333333333,334.7866666666667,12,1,93.0
1,Yasmine M.,47.3 km,8.0,12.8 km,4:47 /km,27 m,2022-11-13 16:18:13.638756,"Detroit, MI",,,,,47.3,"['4', '47']",4.783333333333333,226.25166666666664,13,1,27.0
5,Sufyan K.,46.7 km,6.0,9.9 km,4:55 /km,79 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,46.7,"['4', '55']",4.916666666666667,229.60833333333335,14,5,79.0
2,Engr Khurram S.,46.5 km,4.0,21.1 km,5:26 /km,534 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,46.5,"['5', '26']",5.433333333333334,252.65,15,2,534.0
3,Nofil S.,41.8 km,4.0,11.7 km,4:47 /km,94 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,41.8,"['4', '47']",4.783333333333333,199.94333333333333,16,3,94.0
